S No.,District,Total_2001,Total_2011,Male_2001,Male_2011,Female_2001,Female_2011
0,BIHAR ,47,63.82,59.68,73.39,33.12,53.33
1,Pashchim Champaran ,38.93,58.06,51.08,68.16,25.23,46.79
2,Purba Champaran ,37.54,58.26,49.31,68.02,24.27,47.36
3,Sheohar ,35.27,56,45.28,63.72,23.86,47.25
4,Sitamarhi ,38.46,53.53,49.36,62.56,26.13,43.4
5,Madhubani ,41.97,60.9,56.79,72.53,26.25,48.3
6,Supaul ,37.28,59.65,52.42,71.65,20.81,46.63
7,Araria ,35.01,55.1,46.38,64.15,22.37,45.18
8,Kishanganj ,31.09,57.04,42.71,65.56,18.63,47.98
9,Purnia ,35.1,52.49,45.63,61.09,23.42,43.19
10,Katihar ,35.09,53.56,45.31,60.99,23.8,45.37
11,Madhepura ,36.07,53.78,48.8,63.82,22.11,42.75
12,Saharsa ,39.08,54.57,51.66,65.22,25.27,42.73
13,Darbhanga ,44.33,58.26,56.72,68.58,30.78,46.88
14,Muzaffarpur ,47.95,65.68,59.1,73.61,35.81,56.82
15,Gopalganj ,47.48,67.04,62.96,78.38,32.16,56.03
16,Siwan ,51.65,71.59,67.26,82.77,36.88,60.35
17,Saran ,51.8,68.57,67.3,79.71,35.82,56.89
18,Vaishali ,50.49,68.56,63.23,77,36.58,59.1
19,Samastipur ,45.13,63.81,57.59,73.09,31.67,53.52
20,Begusarai ,47.98,66.23,59.13,74.36,35.64,57.1
21,Khagaria ,41.35,60.87,51.82,68.51,29.35,52.16
22,Bhagalpur ,49.5,64.96,59.22,72.3,38.13,56.49
23,Banka ,42.73,60.12,55.29,69.76,28.67,49.4
24,Munger ,59.47,73.3,69.89,80.06,47.4,65.53
25,Lakhisarai ,47.96,64.95,60.74,73.98,33.96,54.89
26,Sheikhpura ,48.6,65.96,61.94,76.14,33.92,54.93
27,Nalanda ,53.19,66.41,66.44,77.11,38.58,54.76
28,Patna ,62.92,72.47,73.34,80.28,50.83,63.72
29,Bhojpur ,58.96,72.79,74.29,84.08,41.8,60.2
30,Buxar ,56.8,71.77,71.92,82.78,39.88,59.84
31,Kaimur (Bhabua) ,55.09,71.01,69.64,81.49,38.79,59.56
32,Rohtas ,61.28,75.59,75.29,85.29,45.69,64.95
33,Aurangabad ,57.03,72.77,71.13,82.52,41.9,62.05
34,Gaya ,50.45,66.35,63.27,76.02,36.66,55.9
35,Nawada ,46.83,61.63,60.58,71.4,32.17,51.09
36,Jamui ,42.43,62.16,57.06,73.77,26.32,49.44
37,Jehanabad ,55.22,68.27,69.52,79.3,39.82,56.24
38,Arwal ,55.31,69.54,70.95,81.27,38.66,56.85
