S No.,District,sex_ratio 2011,sex_ratio 2001,Rank in 2001
1,Gopalganj ,1015,1001,2
2,Siwan ,984,1031,1
3,Saran ,949,966,3
4,Kishanganj ,946,936,7
5,Nawada ,936,946,4
6,Gaya ,932,938,6
7,Purnia ,930,915,20
8,Arwal ,927,935,8
9,Sheikhpura ,926,918,18
10,Madhubani ,925,942,5
11,Supaul ,925,920,13
12,Buxar ,922,899,31
13,Araria ,921,913,23
14,Nalanda ,921,914,21
15,Jamui ,921,918,17
16,Kaimur (Bhabua) ,919,902,28
17,Jehanabad ,918,925,11
18,Katihar ,916,919,16
19,Aurangabad ,916,934,9
20,Rohtas ,914,910,26
21,Madhepura ,914,915,19
22,Darbhanga ,910,914,22
23,Samastipur ,909,928,10
24,Banka ,907,908,27
25,Pashchim Champaran ,906,901,30
26,Saharsa ,906,910,25
27,Purba Champaran ,901,897,32
28,Lakhisarai ,900,921,12
29,Bhojpur ,900,902,29
30,Sitamarhi ,899,892,33
31,Muzaffarpur ,898,920,15
32,Begusarai ,894,912,24
33,Vaishali ,892,920,14
34,Patna ,892,873,37
35,Sheohar ,890,885,34
36,Khagaria ,883,885,35
37,Munger ,879,872,38
38,Bhagalpur ,879,876,36
